TF (regulator),Gene (target)
PLEK,RP11-49C24.1
HOPX,RP11-49C24.1
JUN,RP11-511B23.1
JUNB,RP11-511B23.1
BBX,RP11-511B23.1
ID2,RP11-511B23.1
ARID2,RP11-511B23.1
ZNF143,RP11-511B23.1
CEBPD,RP11-511B23.1
LYAR,RP11-511B23.1
FOS,RP11-511B23.1
FOSB,RP11-511B23.1
MTA1,RP11-511B23.1
ATF6,RP11-511B23.1
KLF6,RP11-511B23.1
YEATS4,RP11-511B23.1
PLEK,RP11-511B23.1
JUN,RP11-511B23.2
JUNB,RP11-511B23.2
ID2,RP11-511B23.2
MLXIP,RP11-511B23.2
CEBPD,RP11-511B23.2
LEF1,RP11-511B23.2
LYAR,RP11-511B23.2
ZNF277,RP11-511B23.2
FOS,RP11-511B23.2
DNAJC1,RP11-511B23.2
FOXN2,RP11-511B23.2
KLF6,RP11-511B23.2
PLEK,RP11-511B23.2
ZNF683,RP11-511B23.2
HOPX,RP11-511B23.2
JUN,RP11-524F11.2
JUNB,RP11-524F11.2
BBX,RP11-524F11.2
ID2,RP11-524F11.2
CEBPD,RP11-524F11.2
LEF1,RP11-524F11.2
LYAR,RP11-524F11.2
ZNF277,RP11-524F11.2
FOS,RP11-524F11.2
ASCL2,RP11-524F11.2
FOSB,RP11-524F11.2
DNAJC1,RP11-524F11.2
KLF6,RP11-524F11.2
ZNF683,RP11-524F11.2
HOPX,RP11-524F11.2
JUN,RP11-532F12.5
JUNB,RP11-532F12.5
HOPX,RP11-532F12.5
ID2,RP11-532F12.5
ZNF143,RP11-532F12.5
AHCTF1,RP11-532F12.5
LYAR,RP11-532F12.5
ZNF277,RP11-532F12.5
DNAJC1,RP11-532F12.5
FOXK1,RP11-532F12.5
MTA1,RP11-532F12.5
KLF6,RP11-532F12.5
YEATS4,RP11-532F12.5
ZNF684,RP11-532F12.5
ZNF710,RP11-532F12.5
BATF,RP11-539L10.2
BAZ2A,RP11-539L10.2
JUN,RP11-539L10.2
JUNB,RP11-539L10.2
PURA,RP11-539L10.2
ZFHX2,RP11-539L10.2
CASZ1,RP11-539L10.2
TCF12,RP11-539L10.2
ARNT,RP11-539L10.2
LYAR,RP11-539L10.2
MAFB,RP11-539L10.2
FOS,RP11-539L10.2
KLF6,RP11-539L10.2
PKNOX1,RP11-539L10.2
HOPX,RP11-539L10.2
BATF,RP11-54O7.1
JUN,RP11-54O7.1
JUNB,RP11-54O7.1
BBX,RP11-54O7.1
ID2,RP11-54O7.1
ARID5B,RP11-54O7.1
LYAR,RP11-54O7.1
ZNF277,RP11-54O7.1
FOS,RP11-54O7.1
ZBTB38,RP11-54O7.1
KLF6,RP11-54O7.1
YEATS4,RP11-54O7.1
PLEK,RP11-54O7.1
ZNF683,RP11-54O7.1
HOPX,RP11-54O7.1
BATF,RP11-554E23.4
JUN,RP11-554E23.4
JUNB,RP11-554E23.4
BBX,RP11-554E23.4
ID2,RP11-554E23.4
MLXIP,RP11-554E23.4
ZNF143,RP11-554E23.4
CEBPD,RP11-554E23.4
LEF1,RP11-554E23.4
LYAR,RP11-554E23.4
FOS,RP11-554E23.4
FOSB,RP11-554E23.4
KLF6,RP11-554E23.4
ZNF683,RP11-554E23.4
HOPX,RP11-554E23.4
JUN,RP11-567J20.3
JUNB,RP11-567J20.3
ID2,RP11-567J20.3
ARID5B,RP11-567J20.3
CEBPD,RP11-567J20.3
LYAR,RP11-567J20.3
FOS,RP11-567J20.3
ASCL2,RP11-567J20.3
DNAJC1,RP11-567J20.3
MTA1,RP11-567J20.3
KLF6,RP11-567J20.3
MYBL1,RP11-567J20.3
PLEK,RP11-567J20.3
ZNF683,RP11-567J20.3
HOPX,RP11-567J20.3
JUN,RP11-571L19.8
JUNB,RP11-571L19.8
BBX,RP11-571L19.8
ID2,RP11-571L19.8
ARID2,RP11-571L19.8
ARID5B,RP11-571L19.8
CEBPD,RP11-571L19.8
LEF1,RP11-571L19.8
LYAR,RP11-571L19.8
FOS,RP11-571L19.8
FOSB,RP11-571L19.8
DNAJC1,RP11-571L19.8
KLF6,RP11-571L19.8
ZNF683,RP11-571L19.8
HOPX,RP11-571L19.8
BATF,RP11-574K11.29
RUNX3,RP11-574K11.29
JUN,RP11-574K11.29
JUNB,RP11-574K11.29
PURA,RP11-574K11.29
BBX,RP11-574K11.29
ID2,RP11-574K11.29
CEBPD,RP11-574K11.29
LYAR,RP11-574K11.29
FOS,RP11-574K11.29
FOSB,RP11-574K11.29
DNAJC1,RP11-574K11.29
KLF6,RP11-574K11.29
PLEK,RP11-574K11.29
HOPX,RP11-574K11.29
BATF,RP11-58E21.4
RUNX3,RP11-58E21.4
JUN,RP11-58E21.4
JUNB,RP11-58E21.4
MLXIP,RP11-58E21.4
ID3,RP11-58E21.4
ARID2,RP11-58E21.4
TCF12,RP11-58E21.4
ARID5B,RP11-58E21.4
FOSB,RP11-58E21.4
ZBTB38,RP11-58E21.4
KLF6,RP11-58E21.4
PLEK,RP11-58E21.4
ZNF683,RP11-58E21.4
HOPX,RP11-58E21.4
JUN,RP11-603J24.5
JUNB,RP11-603J24.5
ID2,RP11-603J24.5
CEBPD,RP11-603J24.5
LEF1,RP11-603J24.5
AHCTF1,RP11-603J24.5
LYAR,RP11-603J24.5
FOS,RP11-603J24.5
DNAJC1,RP11-603J24.5
MTA1,RP11-603J24.5
RORB,RP11-603J24.5
MYBL1,RP11-603J24.5
PLEK,RP11-603J24.5
ZNF683,RP11-603J24.5
HOPX,RP11-603J24.5
BAZ2A,RP11-631N16.2
JUN,RP11-631N16.2
RUNX3,RP11-631N16.2
ID2,RP11-631N16.2
ZNF142,RP11-631N16.2
ZNF143,RP11-631N16.2
LYAR,RP11-631N16.2
FOS,RP11-631N16.2
ASCL2,RP11-631N16.2
DNAJC1,RP11-631N16.2
KLF6,RP11-631N16.2
YEATS4,RP11-631N16.2
ZNF562,RP11-631N16.2
ZNF683,RP11-631N16.2
HOPX,RP11-631N16.2
JUN,RP11-646J21.5
JUNB,RP11-646J21.5
BBX,RP11-646J21.5
ID2,RP11-646J21.5
ARID5B,RP11-646J21.5
CEBPD,RP11-646J21.5
LEF1,RP11-646J21.5
LYAR,RP11-646J21.5
FOS,RP11-646J21.5
FOSB,RP11-646J21.5
KLF6,RP11-646J21.5
YEATS4,RP11-646J21.5
MYBL1,RP11-646J21.5
ZNF683,RP11-646J21.5
HOPX,RP11-646J21.5
RUNX3,RP11-65L3.2
JUN,RP11-65L3.2
JUNB,RP11-65L3.2
ID2,RP11-65L3.2
TP63,RP11-65L3.2
ID3,RP11-65L3.2
LEF1,RP11-65L3.2
LYAR,RP11-65L3.2
FOS,RP11-65L3.2
DNAJC1,RP11-65L3.2
HIVEP3,RP11-65L3.2
KLF6,RP11-65L3.2
PLEK,RP11-65L3.2
ZNF683,RP11-65L3.2
HOPX,RP11-65L3.2
JUN,RP11-664D1.1
JUNB,RP11-664D1.1
ID2,RP11-664D1.1
TBX6,RP11-664D1.1
ARID5B,RP11-664D1.1
TCF12,RP11-664D1.1
CEBPD,RP11-664D1.1
LEF1,RP11-664D1.1
LYAR,RP11-664D1.1
FOS,RP11-664D1.1
HIVEP3,RP11-664D1.1
KLF6,RP11-664D1.1
GABPA,RP11-664D1.1
ZNF683,RP11-664D1.1
HOPX,RP11-664D1.1
PURA,RP11-672L10.6
RUNX3,RP11-672L10.6
JUN,RP11-672L10.6
JUNB,RP11-672L10.6
ZNF142,RP11-672L10.6
TBX6,RP11-672L10.6
LEF1,RP11-672L10.6
ZNF277,RP11-672L10.6
ASCL2,RP11-672L10.6
FOSB,RP11-672L10.6
DNAJC1,RP11-672L10.6
KLF6,RP11-672L10.6
ZNF562,RP11-672L10.6
PLEK,RP11-672L10.6
ZBTB38,RP11-672L10.6
JUN,RP11-676J15.1
JUNB,RP11-676J15.1
BBX,RP11-676J15.1
ID2,RP11-676J15.1
ARID5B,RP11-676J15.1
CEBPD,RP11-676J15.1
LEF1,RP11-676J15.1
LYAR,RP11-676J15.1
FOS,RP11-676J15.1
FOSB,RP11-676J15.1
DNAJC1,RP11-676J15.1
KLF6,RP11-676J15.1
PLEK,RP11-676J15.1
ZNF683,RP11-676J15.1
HOPX,RP11-676J15.1
ZNF773,RP11-727A23.11
JUN,RP11-727A23.11
JUNB,RP11-727A23.11
BBX,RP11-727A23.11
ID2,RP11-727A23.11
ARID5B,RP11-727A23.11
LEF1,RP11-727A23.11
LYAR,RP11-727A23.11
FOS,RP11-727A23.11
DNAJC1,RP11-727A23.11
KLF6,RP11-727A23.11
PLEK,RP11-727A23.11
ZNF683,RP11-727A23.11
MYSM1,RP11-727A23.11
HOPX,RP11-727A23.11
JUN,RP11-755B10.2
JUNB,RP11-755B10.2
BBX,RP11-755B10.2
ID2,RP11-755B10.2
ARID2,RP11-755B10.2
ARID5B,RP11-755B10.2
CEBPD,RP11-755B10.2
LEF1,RP11-755B10.2
LYAR,RP11-755B10.2
FOS,RP11-755B10.2
DNAJC1,RP11-755B10.2
MTA1,RP11-755B10.2
KLF6,RP11-755B10.2
ZNF683,RP11-755B10.2
HOPX,RP11-755B10.2
BATF,RP11-762I7.5
RUNX3,RP11-762I7.5
JUN,RP11-762I7.5
JUNB,RP11-762I7.5
PURA,RP11-762I7.5
ID2,RP11-762I7.5
MLXIP,RP11-762I7.5
ARID5B,RP11-762I7.5
LYAR,RP11-762I7.5
FOS,RP11-762I7.5
DNAJC1,RP11-762I7.5
KLF6,RP11-762I7.5
PLEK,RP11-762I7.5
ZNF683,RP11-762I7.5
HOPX,RP11-762I7.5
BATF,RP11-768F21.1
BAZ2A,RP11-768F21.1
JUN,RP11-768F21.1
JUNB,RP11-768F21.1
ID2,RP11-768F21.1
ARID2,RP11-768F21.1
CEBPD,RP11-768F21.1
LEF1,RP11-768F21.1
LYAR,RP11-768F21.1
FOS,RP11-768F21.1
DNAJC1,RP11-768F21.1
KLF6,RP11-768F21.1
PLEK,RP11-768F21.1
ZNF683,RP11-768F21.1
HOPX,RP11-768F21.1
BATF,RP11-770J1.5
BAZ2A,RP11-770J1.5
JUN,RP11-770J1.5
JUNB,RP11-770J1.5
ID2,RP11-770J1.5
ID3,RP11-770J1.5
EPAS1,RP11-770J1.5
LYAR,RP11-770J1.5
FOS,RP11-770J1.5
FOSB,RP11-770J1.5
KLF6,RP11-770J1.5
YEATS4,RP11-770J1.5
PLEK,RP11-770J1.5
ZNF683,RP11-770J1.5
HOPX,RP11-770J1.5
BATF,RP11-779O18.3
JUN,RP11-779O18.3
JUNB,RP11-779O18.3
ID2,RP11-779O18.3
ZNF143,RP11-779O18.3
CEBPD,RP11-779O18.3
LEF1,RP11-779O18.3
LYAR,RP11-779O18.3
ZNF277,RP11-779O18.3
FOS,RP11-779O18.3
FOSB,RP11-779O18.3
KLF6,RP11-779O18.3
MYBL1,RP11-779O18.3
PLEK,RP11-779O18.3
HOPX,RP11-779O18.3
BATF,RP11-77I22.2
JUN,RP11-77I22.2
JUNB,RP11-77I22.2
BBX,RP11-77I22.2
ID2,RP11-77I22.2
MLXIP,RP11-77I22.2
CEBPD,RP11-77I22.2
LEF1,RP11-77I22.2
LYAR,RP11-77I22.2
FOS,RP11-77I22.2
DNAJC1,RP11-77I22.2
KLF6,RP11-77I22.2
PLEK,RP11-77I22.2
ZNF683,RP11-77I22.2
HOPX,RP11-77I22.2
BATF,RP11-78O7.2
JUN,RP11-78O7.2
JUNB,RP11-78O7.2
BBX,RP11-78O7.2
ID2,RP11-78O7.2
ARID5B,RP11-78O7.2
CEBPD,RP11-78O7.2
AHCTF1,RP11-78O7.2
LEF1,RP11-78O7.2
LYAR,RP11-78O7.2
FOS,RP11-78O7.2
FOXK1,RP11-78O7.2
KLF6,RP11-78O7.2
PKNOX1,RP11-78O7.2
HOPX,RP11-78O7.2
BAZ2A,RP11-795F19.5
JUN,RP11-795F19.5
JUNB,RP11-795F19.5
ID2,RP11-795F19.5
ID3,RP11-795F19.5
MLXIP,RP11-795F19.5
CEBPD,RP11-795F19.5
LEF1,RP11-795F19.5
LYAR,RP11-795F19.5
FOS,RP11-795F19.5
DNAJC1,RP11-795F19.5
KLF6,RP11-795F19.5
PLEK,RP11-795F19.5
ZNF683,RP11-795F19.5
HOPX,RP11-795F19.5
BATF,RP11-7F18.2
BAZ2A,RP11-7F18.2
JUN,RP11-7F18.2
JUNB,RP11-7F18.2
BBX,RP11-7F18.2
ID2,RP11-7F18.2
ARID5B,RP11-7F18.2
CEBPD,RP11-7F18.2
LYAR,RP11-7F18.2
FOS,RP11-7F18.2
DNAJC1,RP11-7F18.2
KLF6,RP11-7F18.2
PLEK,RP11-7F18.2
ZNF683,RP11-7F18.2
HOPX,RP11-7F18.2
ZNF773,RP11-802O23.3
JUN,RP11-802O23.3
JUNB,RP11-802O23.3
ARID5B,RP11-802O23.3
LEF1,RP11-802O23.3
ZNF234,RP11-802O23.3
LYAR,RP11-802O23.3
FOS,RP11-802O23.3
MTA1,RP11-802O23.3
KLF6,RP11-802O23.3
YEATS4,RP11-802O23.3
MYBL1,RP11-802O23.3
GABPA,RP11-802O23.3
ZNF683,RP11-802O23.3
HOPX,RP11-802O23.3
JUN,RP11-803B1.8
JUNB,RP11-803B1.8
BBX,RP11-803B1.8
ID2,RP11-803B1.8
MLXIP,RP11-803B1.8
ARID5B,RP11-803B1.8
CEBPD,RP11-803B1.8
LEF1,RP11-803B1.8
LYAR,RP11-803B1.8
FOSB,RP11-803B1.8
KLF6,RP11-803B1.8
PLEK,RP11-803B1.8
ZNF683,RP11-803B1.8
MYSM1,RP11-803B1.8
HOPX,RP11-803B1.8
BATF,RP11-803D5.4
BAZ2A,RP11-803D5.4
JUN,RP11-803D5.4
JUNB,RP11-803D5.4
CEBPD,RP11-803D5.4
LYAR,RP11-803D5.4
FOS,RP11-803D5.4
ASCL2,RP11-803D5.4
DNAJC1,RP11-803D5.4
FOXN2,RP11-803D5.4
ATF6,RP11-803D5.4
KLF6,RP11-803D5.4
MYBL1,RP11-803D5.4
PLEK,RP11-803D5.4
HOPX,RP11-803D5.4
BATF,RP11-814H16.2
BAZ2A,RP11-814H16.2
JUN,RP11-814H16.2
JUNB,RP11-814H16.2
BBX,RP11-814H16.2
ID2,RP11-814H16.2
ID3,RP11-814H16.2
ZNF143,RP11-814H16.2
CEBPD,RP11-814H16.2
LYAR,RP11-814H16.2
FOS,RP11-814H16.2
DNAJC1,RP11-814H16.2
KLF6,RP11-814H16.2
PLEK,RP11-814H16.2
HOPX,RP11-814H16.2
JUN,RP11-816J6.3
JUNB,RP11-816J6.3
ID2,RP11-816J6.3
ID3,RP11-816J6.3
CEBPD,RP11-816J6.3
LEF1,RP11-816J6.3
LYAR,RP11-816J6.3
FOS,RP11-816J6.3
DNAJC1,RP11-816J6.3
FOXN2,RP11-816J6.3
ATF6,RP11-816J6.3
KLF6,RP11-816J6.3
PLEK,RP11-816J6.3
ZNF683,RP11-816J6.3
HOPX,RP11-816J6.3
PURA,RP11-841O20.2
RUNX3,RP11-841O20.2
JUN,RP11-841O20.2
SNAI3,RP11-841O20.2
JUNB,RP11-841O20.2
MLXIP,RP11-841O20.2
ZNF143,RP11-841O20.2
AHCTF1,RP11-841O20.2
LYAR,RP11-841O20.2
ZNF277,RP11-841O20.2
FOS,RP11-841O20.2
DNAJC1,RP11-841O20.2
KLF6,RP11-841O20.2
GABPA,RP11-841O20.2
ZBTB38,RP11-841O20.2
BATF,RP11-860B13.1
BAZ2A,RP11-860B13.1
RUNX3,RP11-860B13.1
JUNB,RP11-860B13.1
ZSCAN2,RP11-860B13.1
JUN,RP11-860B13.1
ID2,RP11-860B13.1
LEF1,RP11-860B13.1
LYAR,RP11-860B13.1
FOS,RP11-860B13.1
ASCL2,RP11-860B13.1
FOSB,RP11-860B13.1
KLF6,RP11-860B13.1
MYBL1,RP11-860B13.1
HOPX,RP11-860B13.1
BATF,RP11-861A13.4
ZNF773,RP11-861A13.4
JUN,RP11-861A13.4
JUNB,RP11-861A13.4
SNAI3,RP11-861A13.4
ID2,RP11-861A13.4
CEBPD,RP11-861A13.4
LEF1,RP11-861A13.4
LYAR,RP11-861A13.4
FOS,RP11-861A13.4
HIVEP3,RP11-861A13.4
KLF6,RP11-861A13.4
ZNF576,RP11-861A13.4
ZNF684,RP11-861A13.4
HOPX,RP11-861A13.4
DACH1,RP11-872J21.3
BAZ2A,RP11-872J21.3
JUN,RP11-872J21.3
JUNB,RP11-872J21.3
BATF,RP11-872J21.3
BBX,RP11-872J21.3
ID2,RP11-872J21.3
ARID5B,RP11-872J21.3
ZNF234,RP11-872J21.3
LYAR,RP11-872J21.3
DNAJC1,RP11-872J21.3
ZNF470,RP11-872J21.3
ATF6,RP11-872J21.3
KLF6,RP11-872J21.3
HOPX,RP11-872J21.3
BATF,RP11-905K4.1
JUN,RP11-905K4.1
JUNB,RP11-905K4.1
ID2,RP11-905K4.1
SOX13,RP11-905K4.1
CEBPD,RP11-905K4.1
LYAR,RP11-905K4.1
FOS,RP11-905K4.1
FOSB,RP11-905K4.1
DNAJC1,RP11-905K4.1
KLF6,RP11-905K4.1
PLEK,RP11-905K4.1
ZNF683,RP11-905K4.1
MYSM1,RP11-905K4.1
HOPX,RP11-905K4.1
RUNX3,RP11-94L15.2
JUN,RP11-94L15.2
JUNB,RP11-94L15.2
ID2,RP11-94L15.2
SOX13,RP11-94L15.2
CASZ1,RP11-94L15.2
ZNF234,RP11-94L15.2
LYAR,RP11-94L15.2
ZNF320,RP11-94L15.2
FOS,RP11-94L15.2
KLF6,RP11-94L15.2
RORB,RP11-94L15.2
MYBL1,RP11-94L15.2
HMGB3,RP11-94L15.2
ZNF737,RP11-94L15.2
BATF,RP11-983P16.4
JUN,RP11-983P16.4
JUNB,RP11-983P16.4
BBX,RP11-983P16.4
ID2,RP11-983P16.4
ID3,RP11-983P16.4
ZNF143,RP11-983P16.4
ARID5B,RP11-983P16.4
CEBPD,RP11-983P16.4
LEF1,RP11-983P16.4
LYAR,RP11-983P16.4
FOS,RP11-983P16.4
ZBTB38,RP11-983P16.4
KLF6,RP11-983P16.4
HOPX,RP11-983P16.4
JUN,RP13-638C3.4
JUNB,RP13-638C3.4
BBX,RP13-638C3.4
ID2,RP13-638C3.4
ARID5B,RP13-638C3.4
CEBPD,RP13-638C3.4
LYAR,RP13-638C3.4
FOS,RP13-638C3.4
DNAJC1,RP13-638C3.4
ZBTB38,RP13-638C3.4
KLF6,RP13-638C3.4
YEATS4,RP13-638C3.4
PLEK,RP13-638C3.4
ZNF683,RP13-638C3.4
HOPX,RP13-638C3.4
BATF,RP3-522J7.6
RUNX3,RP3-522J7.6
JUN,RP3-522J7.6
JUNB,RP3-522J7.6
BBX,RP3-522J7.6
ID2,RP3-522J7.6
CEBPD,RP3-522J7.6
LYAR,RP3-522J7.6
FOS,RP3-522J7.6
FOSB,RP3-522J7.6
DNAJC1,RP3-522J7.6
MTA1,RP3-522J7.6
KLF6,RP3-522J7.6
PLEK,RP3-522J7.6
HOPX,RP3-522J7.6
PURA,RP4-583P15.10
RUNX3,RP4-583P15.10
JUN,RP4-583P15.10
JUNB,RP4-583P15.10
ZFHX3,RP4-583P15.10
ID2,RP4-583P15.10
LEF1,RP4-583P15.10
LYAR,RP4-583P15.10
WDHD1,RP4-583P15.10
FOS,RP4-583P15.10
FOXK1,RP4-583P15.10
KLF6,RP4-583P15.10
ZNF683,RP4-583P15.10
ZNF684,RP4-583P15.10
HOPX,RP4-583P15.10
JUN,RP4-593H12.1
JUNB,RP4-593H12.1
ID2,RP4-593H12.1
ARID5B,RP4-593H12.1
CEBPD,RP4-593H12.1
ZNF264,RP4-593H12.1
LYAR,RP4-593H12.1
FOS,RP4-593H12.1
DNAJC1,RP4-593H12.1
KLF6,RP4-593H12.1
PKNOX1,RP4-593H12.1
MYBL1,RP4-593H12.1
GABPA,RP4-593H12.1
ZNF683,RP4-593H12.1
HOPX,RP4-593H12.1
BATF,RP4-622L5.7
JUN,RP4-622L5.7
JUNB,RP4-622L5.7
BBX,RP4-622L5.7
ID2,RP4-622L5.7
LYAR,RP4-622L5.7
ZNF277,RP4-622L5.7
FOS,RP4-622L5.7
DNAJC1,RP4-622L5.7
HIVEP3,RP4-622L5.7
KLF6,RP4-622L5.7
MYBL1,RP4-622L5.7
PLEK,RP4-622L5.7
ZNF683,RP4-622L5.7
HOPX,RP4-622L5.7
BATF,RP4-635E18.6
RUNX3,RP4-635E18.6
JUN,RP4-635E18.6
JUNB,RP4-635E18.6
BBX,RP4-635E18.6
ID2,RP4-635E18.6
ARID5B,RP4-635E18.6
CEBPD,RP4-635E18.6
LEF1,RP4-635E18.6
LYAR,RP4-635E18.6
FOS,RP4-635E18.6
KLF6,RP4-635E18.6
PLEK,RP4-635E18.6
ZNF683,RP4-635E18.6
HOPX,RP4-635E18.6
BATF,RP4-635E18.7
JUN,RP4-635E18.7
JUNB,RP4-635E18.7
BBX,RP4-635E18.7
ID2,RP4-635E18.7
ARID2,RP4-635E18.7
CEBPD,RP4-635E18.7
LEF1,RP4-635E18.7
LYAR,RP4-635E18.7
FOS,RP4-635E18.7
DNAJC1,RP4-635E18.7
KLF6,RP4-635E18.7
PLEK,RP4-635E18.7
ZNF683,RP4-635E18.7
HOPX,RP4-635E18.7
JUN,RP4-677H15.4
JUNB,RP4-677H15.4
ID2,RP4-677H15.4
ZNF142,RP4-677H15.4
ARID5B,RP4-677H15.4
CEBPD,RP4-677H15.4
LEF1,RP4-677H15.4
LYAR,RP4-677H15.4
ZNF277,RP4-677H15.4
FOS,RP4-677H15.4
ASCL2,RP4-677H15.4
KLF6,RP4-677H15.4
PLEK,RP4-677H15.4
ZNF683,RP4-677H15.4
HOPX,RP4-677H15.4
JUN,RP4-794H19.4
SNAI3,RP4-794H19.4
JUNB,RP4-794H19.4
BBX,RP4-794H19.4
ARID5B,RP4-794H19.4
LYAR,RP4-794H19.4
FOS,RP4-794H19.4
FOSB,RP4-794H19.4
DNAJC1,RP4-794H19.4
KLF6,RP4-794H19.4
ZNF576,RP4-794H19.4
MYBL1,RP4-794H19.4
PLEK,RP4-794H19.4
MYSM1,RP4-794H19.4
HOPX,RP4-794H19.4
JUN,RP5-1024G6.5
JUNB,RP5-1024G6.5
BBX,RP5-1024G6.5
ID2,RP5-1024G6.5
ID3,RP5-1024G6.5
ARID5B,RP5-1024G6.5
LEF1,RP5-1024G6.5
LYAR,RP5-1024G6.5
MAFG,RP5-1024G6.5
FOSB,RP5-1024G6.5
FOS,RP5-1024G6.5
DNAJC1,RP5-1024G6.5
PLEK,RP5-1024G6.5
ZNF683,RP5-1024G6.5
HOPX,RP5-1024G6.5
JUN,RP5-1028K7.2
JUNB,RP5-1028K7.2
HOPX,RP5-1028K7.2
ID2,RP5-1028K7.2
ARID2,RP5-1028K7.2
ID3,RP5-1028K7.2
ARNT,RP5-1028K7.2
LYAR,RP5-1028K7.2
WDHD1,RP5-1028K7.2
ZNF470,RP5-1028K7.2
MTA1,RP5-1028K7.2
KLF6,RP5-1028K7.2
MYBL1,RP5-1028K7.2
ZNF683,RP5-1028K7.2
ZNF710,RP5-1028K7.2
JUN,RP5-1142A6.2
JUNB,RP5-1142A6.2
ID2,RP5-1142A6.2
ARID2,RP5-1142A6.2
LEF1,RP5-1142A6.2
LYAR,RP5-1142A6.2
ZNF277,RP5-1142A6.2
FOS,RP5-1142A6.2
DNAJC1,RP5-1142A6.2
HIVEP3,RP5-1142A6.2
KLF6,RP5-1142A6.2
PLEK,RP5-1142A6.2
ZNF683,RP5-1142A6.2
ZNF684,RP5-1142A6.2
HOPX,RP5-1142A6.2
JUN,RP5-850O15.4
JUNB,RP5-850O15.4
BBX,RP5-850O15.4
ID2,RP5-850O15.4
CEBPD,RP5-850O15.4
LYAR,RP5-850O15.4
ZNF277,RP5-850O15.4
FOS,RP5-850O15.4
ASCL2,RP5-850O15.4
DNAJC1,RP5-850O15.4
MTA1,RP5-850O15.4
KLF6,RP5-850O15.4
PLEK,RP5-850O15.4
ZNF683,RP5-850O15.4
ZBTB38,RP5-850O15.4
BATF,RP5-855F16.1
JUN,RP5-855F16.1
JUNB,RP5-855F16.1
BBX,RP5-855F16.1
ID2,RP5-855F16.1
ZNF143,RP5-855F16.1
LEF1,RP5-855F16.1
LYAR,RP5-855F16.1
FOS,RP5-855F16.1
FOSB,RP5-855F16.1
KLF6,RP5-855F16.1
PLEK,RP5-855F16.1
ZNF683,RP5-855F16.1
ZNF684,RP5-855F16.1
HOPX,RP5-855F16.1
JUN,RP5-894A10.2
SNAI3,RP5-894A10.2
JUNB,RP5-894A10.2
ZFHX2,RP5-894A10.2
LYAR,RP5-894A10.2
ZNF277,RP5-894A10.2
MAFB,RP5-894A10.2
THAP6,RP5-894A10.2
DNAJC1,RP5-894A10.2
KLF6,RP5-894A10.2
PKNOX1,RP5-894A10.2
YEATS4,RP5-894A10.2
PLEK,RP5-894A10.2
ZNF683,RP5-894A10.2
HOPX,RP5-894A10.2
JUN,RP5-991G20.4
JUNB,RP5-991G20.4
BBX,RP5-991G20.4
ID2,RP5-991G20.4
ID3,RP5-991G20.4
ZNF143,RP5-991G20.4
ARID5B,RP5-991G20.4
ZNF277,RP5-991G20.4
FOS,RP5-991G20.4
ASCL2,RP5-991G20.4
DNAJC1,RP5-991G20.4
KLF6,RP5-991G20.4
PLEK,RP5-991G20.4
ZNF683,RP5-991G20.4
HOPX,RP5-991G20.4
DACH1,RPF2
SNAI3,RPF2
JUNB,RPF2
MLXIP,RPF2
ARID2,RPF2
ZNF142,RPF2
TBX1,RPF2
ZNF234,RPF2
ZNF264,RPF2
MAFB,RPF2
FOS,RPF2
FOXN2,RPF2
KLF6,RPF2
ZNF684,RPF2
HOPX,RPF2
JUN,RPGR
JUNB,RPGR
ID2,RPGR
ARID2,RPGR
SOX13,RPGR
SATB2,RPGR
ARID5B,RPGR
LYAR,RPGR
FOS,RPGR
FOSB,RPGR
MTA1,RPGR
ZBTB38,RPGR
ZNF683,RPGR
MYSM1,RPGR
HOPX,RPGR
BATF,RPL34
JUN,RPL34
JUNB,RPL34
BBX,RPL34
ID2,RPL34
ARID5B,RPL34
LEF1,RPL34
LYAR,RPL34
FOS,RPL34
ASCL2,RPL34
DNAJC1,RPL34
KLF6,RPL34
PLEK,RPL34
ZNF683,RPL34
HOPX,RPL34
BATF,RPLP1
RUNX3,RPLP1
JUN,RPLP1
JUNB,RPLP1
ID2,RPLP1
ARID5B,RPLP1
CEBPD,RPLP1
LYAR,RPLP1
FOS,RPLP1
ASCL2,RPLP1
DNAJC1,RPLP1
KLF6,RPLP1
PLEK,RPLP1
ZNF683,RPLP1
HOPX,RPLP1
BAZ2A,RPS6KA3
JUN,RPS6KA3
JUNB,RPS6KA3
BBX,RPS6KA3
ID2,RPS6KA3
LEF1,RPS6KA3
LYAR,RPS6KA3
ZNF277,RPS6KA3
THAP6,RPS6KA3
FOS,RPS6KA3
FOSB,RPS6KA3
DNAJC1,RPS6KA3
MTA1,RPS6KA3
KLF6,RPS6KA3
HOPX,RPS6KA3
JUN,RSBN1L
JUNB,RSBN1L
ID2,RSBN1L
MLXIP,RSBN1L
ARID5B,RSBN1L
CASZ1,RSBN1L
LYAR,RSBN1L
THAP6,RSBN1L
FOS,RSBN1L
FOSB,RSBN1L
DNAJC1,RSBN1L
HIVEP3,RSBN1L
KLF6,RSBN1L
MYBL1,RSBN1L
ZNF683,RSBN1L
BATF,RSF1
RUNX3,RSF1
JUN,RSF1
JUNB,RSF1
TBX6,RSF1
LEF1,RSF1
LYAR,RSF1
DNAJC1,RSF1
FOXK1,RSF1
ATF6,RSF1
KLF6,RSF1
PLEK,RSF1
GABPA,RSF1
ZNF683,RSF1
ZBTB38,RSF1
JUN,RSRC1
